Pclass,Age,SibSp,Parch,Fare,male,C,Q,S,Survived
3,22,1,0,7,1,0,0,1,0
1,38,1,0,71,0,1,0,0,1
3,26,0,0,8,0,0,0,1,1
1,35,1,0,53,0,0,0,1,1
3,35,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,1,0,0
1,54,0,0,52,1,0,0,1,0
3,2,3,1,21,1,0,0,1,0
3,27,0,2,11,0,0,0,1,1
2,14,1,0,30,0,1,0,0,1
3,4,1,1,17,0,0,0,1,1
1,58,0,0,27,0,0,0,1,1
3,20,0,0,8,1,0,0,1,0
3,39,1,5,31,1,0,0,1,0
3,14,0,0,8,0,0,0,1,0
2,55,0,0,16,0,0,0,1,1
3,2,4,1,29,1,0,1,0,0
2,29,0,0,13,1,0,0,1,1
3,31,1,0,18,0,0,0,1,0
3,24,0,0,7,0,1,0,0,1
2,35,0,0,26,1,0,0,1,0
2,34,0,0,13,1,0,0,1,1
3,15,0,0,8,0,0,1,0,1
1,28,0,0,36,1,0,0,1,1
3,8,3,1,21,0,0,0,1,0
3,38,1,5,31,0,0,0,1,1
3,24,0,0,7,1,1,0,0,0
1,19,3,2,263,1,0,0,1,0
3,24,0,0,8,0,0,1,0,1
3,24,0,0,8,1,0,0,1,0
1,40,0,0,28,1,1,0,0,0
1,37,1,0,147,0,1,0,0,1
3,24,0,0,8,0,0,1,0,1
2,66,0,0,11,1,0,0,1,0
1,28,1,0,82,1,1,0,0,0
1,42,1,0,52,1,0,0,1,0
3,24,0,0,7,1,1,0,0,1
3,21,0,0,8,1,0,0,1,0
3,18,2,0,18,0,0,0,1,0
3,14,1,0,11,0,1,0,0,1
3,40,1,0,9,0,0,0,1,0
2,27,1,0,21,0,0,0,1,0
3,24,0,0,8,1,1,0,0,0
2,3,1,2,42,0,1,0,0,1
3,19,0,0,8,0,0,1,0,1
3,24,0,0,8,1,0,0,1,0
3,24,1,0,16,1,0,1,0,0
3,24,0,0,8,0,0,1,0,1
3,24,2,0,22,1,1,0,0,0
3,18,1,0,18,0,0,0,1,0
3,7,4,1,40,1,0,0,1,0
3,21,0,0,8,1,0,0,1,0
1,49,1,0,77,0,1,0,0,1
2,29,1,0,26,0,0,0,1,1
1,65,0,1,62,1,1,0,0,0
1,37,0,0,36,1,0,0,1,1
2,21,0,0,11,0,0,0,1,1
3,29,0,0,7,1,1,0,0,0
2,5,1,2,28,0,0,0,1,1
3,11,5,2,47,1,0,0,1,0
3,22,0,0,7,1,1,0,0,0
1,38,0,0,80,0,0,0,0,1
1,45,1,0,83,1,0,0,1,0
3,4,3,2,28,1,0,0,1,0
1,37,0,0,28,1,1,0,0,0
3,24,1,1,15,1,1,0,0,1
2,29,0,0,11,0,0,0,1,1
3,19,0,0,8,1,0,0,1,0
3,17,4,2,8,0,0,0,1,1
3,26,2,0,9,1,0,0,1,0
2,32,0,0,11,1,0,0,1,0
3,16,5,2,47,0,0,0,1,0
2,21,0,0,74,1,0,0,1,0
3,26,1,0,14,1,1,0,0,0
3,32,0,0,56,1,0,0,1,1
3,25,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
2,1,0,2,29,1,0,0,1,1
3,30,0,0,12,0,0,0,1,1
3,22,0,0,9,1,0,0,1,0
3,29,0,0,10,1,0,0,1,1
3,24,0,0,8,0,0,1,0,1
1,28,0,0,47,1,0,0,1,0
2,17,0,0,11,0,0,0,1,1
3,33,3,0,16,0,0,0,1,1
3,16,1,3,34,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,23,3,2,263,0,0,0,1,1
3,24,0,0,8,1,0,0,1,0
3,29,0,0,8,1,0,0,1,0
3,20,0,0,8,1,0,0,1,0
1,46,1,0,61,1,0,0,1,0
3,26,1,2,21,1,0,0,1,0
3,59,0,0,7,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,71,0,0,35,1,1,0,0,0
1,23,0,1,63,1,1,0,0,1
2,34,0,1,23,0,0,0,1,1
2,34,1,0,26,1,0,0,1,0
3,28,0,0,8,0,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,21,0,1,77,1,0,0,1,0
3,33,0,0,9,1,0,0,1,0
3,37,2,0,8,1,0,0,1,0
3,28,0,0,8,1,0,0,1,0
3,21,0,0,8,0,0,0,1,1
3,24,0,0,8,1,0,0,1,1
3,38,0,0,8,1,0,0,1,0
3,24,1,0,24,0,0,1,0,1
1,47,0,0,52,1,0,0,1,0
3,15,1,0,14,0,1,0,0,0
3,22,0,0,8,1,0,0,1,0
3,20,1,0,10,0,0,0,1,0
3,17,0,0,14,0,1,0,0,0
3,21,0,0,8,1,0,0,1,0
3,71,0,0,8,1,0,1,0,0
2,29,1,0,21,1,0,0,1,0
1,24,0,1,248,1,1,0,0,0
3,2,4,2,31,0,0,0,1,0
2,21,2,0,74,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
2,33,1,0,30,1,1,0,0,0
2,33,0,0,13,0,0,0,1,1
1,54,0,1,77,1,0,0,1,0
3,12,1,0,11,1,1,0,0,1
3,24,0,0,8,1,0,1,0,0
3,24,0,0,7,1,0,0,1,1
3,24,1,1,22,0,1,0,0,1
3,45,0,0,7,1,0,0,1,0
3,33,0,0,8,1,1,0,0,0
3,20,0,0,7,1,0,0,1,0
3,47,1,0,15,0,0,0,1,0
2,29,1,0,26,0,0,0,1,1
2,25,0,0,13,1,0,0,1,0
2,23,0,0,15,1,1,0,0,0
1,19,0,2,26,0,0,0,1,1
1,37,1,0,53,1,0,0,1,0
3,16,0,0,9,1,0,0,1,0
1,24,0,0,79,1,1,0,0,0
3,24,0,2,15,0,1,0,0,0
3,22,0,0,8,0,0,0,1,1
3,24,1,0,16,0,0,0,1,1
3,19,0,0,7,1,0,1,0,0
2,18,0,0,12,1,0,0,1,0
2,19,1,1,37,1,0,0,1,0
3,27,0,0,8,1,0,0,1,1
3,9,2,2,34,0,0,0,1,0
2,37,0,2,26,1,0,0,1,0
2,42,0,0,13,1,0,0,1,0
2,51,0,0,13,1,0,0,1,0
1,22,1,0,67,0,0,0,1,1
3,56,0,0,8,1,0,0,1,0
3,41,0,2,15,1,0,0,1,0
3,24,0,0,7,1,0,0,1,0
1,51,0,1,61,1,1,0,0,0
3,16,0,0,8,0,0,1,0,1
3,30,0,0,8,1,0,0,1,0
3,24,0,0,9,1,0,0,1,0
3,8,,2,70,1,0,0,1,0
3,44,0,1,16,1,0,0,1,0
2,40,0,0,16,0,0,0,1,1
3,26,0,0,8,1,0,0,1,0
3,17,0,0,9,1,0,0,1,0
3,1,4,1,40,1,0,0,1,0
3,9,0,2,21,1,0,0,1,1
1,37,0,1,55,0,0,0,1,1
3,45,1,4,28,0,0,0,1,0
1,37,0,0,26,1,0,0,1,0
3,28,0,0,56,1,0,0,1,0
1,61,0,0,34,1,0,0,1,0
3,4,4,1,29,1,0,1,0,0
3,1,1,1,11,0,0,0,1,1
3,21,0,0,8,1,0,0,1,0
1,56,0,0,31,1,1,0,0,0
3,18,1,1,8,1,0,0,1,0
3,24,3,1,25,1,0,0,1,0
1,50,0,0,29,0,1,0,0,0
2,30,0,0,13,1,0,0,1,0
3,36,0,0,0,1,0,0,1,0
3,24,8,2,70,0,0,0,1,0
2,29,0,0,15,1,1,0,0,0
3,9,4,2,31,1,0,0,1,0
2,1,2,1,39,1,0,0,1,1
3,4,0,2,22,0,0,0,1,1
1,37,0,0,50,1,0,0,1,0
3,24,1,0,16,0,0,1,0,1
1,45,0,0,27,1,0,0,1,1
3,40,1,1,16,1,0,1,0,0
3,36,0,0,8,1,0,0,1,0
2,32,0,0,13,0,0,0,1,1
2,19,0,0,13,1,0,0,1,0
3,19,1,0,8,0,0,0,1,1
2,3,1,1,26,1,0,0,1,1
1,44,0,0,28,0,1,0,0,1
1,58,0,0,147,0,1,0,0,1
3,24,0,0,8,1,0,1,0,0
3,42,0,1,8,1,0,0,1,0
3,24,0,0,8,0,0,1,0,1
2,24,0,0,13,0,0,0,1,0
3,28,0,0,10,1,0,0,1,0
3,24,8,2,70,1,0,0,1,0
3,34,0,0,6,1,0,0,1,0
3,46,0,0,7,1,1,0,0,0
3,18,0,0,8,1,0,0,1,1
3,2,0,1,10,0,0,0,1,0
3,32,1,0,16,1,0,0,1,0
3,26,0,0,19,1,1,0,0,1
3,16,0,0,8,0,0,1,0,1
1,40,0,0,31,1,1,0,0,1
3,24,0,0,7,1,0,0,1,0
2,35,0,0,21,0,0,0,1,1
3,22,0,0,7,1,0,0,1,0
2,30,0,0,13,1,0,0,1,0
3,24,1,0,8,1,0,1,0,0
1,31,1,0,113,0,1,0,0,1
3,27,0,0,8,0,0,0,1,1
2,42,1,0,27,1,0,0,1,0
1,32,0,0,76,0,1,0,0,1
2,30,0,0,11,1,0,0,1,0
3,16,0,0,8,1,0,0,1,1
2,27,0,0,13,1,0,0,1,0
3,51,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,38,1,0,90,1,0,0,1,1
3,22,0,0,9,1,0,0,1,0
2,19,0,0,11,1,0,0,1,1
3,21,0,0,7,1,0,0,1,0
2,18,0,0,13,1,0,0,1,0
3,24,3,1,25,0,0,0,1,0
1,35,1,0,83,0,0,0,1,1
3,29,0,0,8,1,0,0,1,0
2,59,0,0,14,1,0,0,1,0
3,5,4,2,31,0,0,0,1,1
2,24,0,0,11,1,0,0,1,0
3,24,0,0,8,0,0,0,1,0
2,44,1,0,26,1,0,0,1,0
2,8,0,2,26,0,0,0,1,1
2,19,0,0,11,1,0,0,1,0
2,33,0,0,12,1,0,0,1,0
3,24,1,0,14,0,1,0,0,0
3,24,1,0,16,0,0,1,0,1
2,29,0,0,11,1,0,0,1,0
3,22,0,0,7,1,0,0,1,0
3,30,0,0,7,1,1,0,0,0
1,44,2,0,90,1,0,1,0,0
3,25,0,0,8,0,0,0,1,0
2,24,0,2,15,0,0,0,1,1
1,37,1,1,53,1,0,0,1,1
2,54,1,0,26,1,0,0,1,0
3,24,0,0,7,1,0,0,1,0
3,29,1,1,10,0,0,0,1,0
1,62,0,0,27,1,0,0,1,0
3,30,1,0,16,1,0,0,1,0
3,41,0,2,20,0,0,0,1,0
3,29,0,2,15,0,1,0,0,1
1,37,0,0,79,0,1,0,0,1
1,30,0,0,87,0,0,0,1,1
1,35,0,0,512,0,1,0,0,1
2,50,0,1,26,0,0,0,1,1
3,24,0,0,8,1,0,1,0,0
3,3,4,2,31,1,0,0,1,1
1,52,1,1,80,1,0,0,1,0
1,40,0,0,0,1,0,0,1,0
3,24,0,0,8,0,0,1,0,0
2,36,0,0,11,1,0,0,1,0
3,16,4,1,40,1,0,0,1,0
3,25,1,0,8,1,0,0,1,1
1,58,0,1,153,0,0,0,1,1
1,35,0,0,136,0,0,0,1,1
1,37,0,0,31,1,0,0,1,0
3,25,0,0,0,1,0,0,1,1
2,41,0,1,20,0,0,0,1,1
1,37,0,1,30,1,1,0,0,0
3,24,0,0,8,0,0,1,0,1
1,63,1,0,78,0,0,0,1,1
3,45,0,0,8,0,0,0,1,0
2,29,0,0,0,1,0,0,1,0
3,7,4,1,29,1,0,1,0,0
3,35,1,1,20,0,0,0,1,1
3,65,0,0,8,1,0,1,0,0
3,28,0,0,8,1,0,0,1,0
3,16,0,0,10,1,0,0,1,0
3,19,0,0,8,1,0,0,1,1
1,37,0,0,26,1,0,0,1,0
3,33,0,0,9,1,1,0,0,0
3,30,0,0,10,1,0,0,1,1
3,22,0,0,8,1,0,0,1,0
2,42,0,0,13,1,0,0,1,1
3,22,0,0,8,0,0,1,0,1
1,26,0,0,79,0,0,0,1,1
1,19,1,0,91,0,1,0,0,1
2,36,0,0,13,1,1,0,0,0
3,24,0,0,9,0,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,37,0,0,28,1,1,0,0,0
3,24,0,0,7,1,1,0,0,0
1,2,1,2,152,0,0,0,1,0
1,37,0,0,31,1,0,0,1,1
1,50,0,1,248,0,1,0,0,1
3,24,0,0,8,0,0,1,0,1
3,24,2,0,23,1,0,1,0,1
3,19,0,0,0,1,0,0,1,0
2,29,0,0,12,0,0,1,0,1
3,24,0,0,8,1,0,0,1,0
1,1,1,2,152,1,0,0,1,1
1,37,0,0,111,0,1,0,0,1
1,17,1,0,109,0,1,0,0,1
2,30,1,0,24,1,1,0,0,0
1,30,0,0,57,0,1,0,0,1
1,24,0,0,83,0,1,0,0,1
1,18,2,2,262,0,1,0,0,1
2,26,1,1,26,0,0,0,1,0
3,28,0,0,8,1,0,0,1,0
2,43,1,1,26,1,0,0,1,0
3,26,0,0,8,0,0,0,1,1
2,24,1,0,26,0,0,0,1,1
2,54,0,0,14,1,0,0,1,0
1,31,0,2,165,0,0,0,1,1
1,40,1,1,135,0,1,0,0,1
3,22,0,0,7,1,0,0,1,0
3,27,0,0,8,1,0,0,1,0
2,30,0,0,12,0,0,1,0,1
2,22,1,1,29,0,0,0,1,1
3,24,8,2,70,1,0,0,1,0
1,36,0,0,136,0,1,0,0,1
3,61,0,0,6,1,0,0,1,0
2,36,0,0,13,0,0,0,1,1
3,31,1,1,21,0,0,0,1,1
1,16,0,1,58,0,1,0,0,1
3,24,2,0,23,0,0,1,0,1
1,46,0,0,29,1,0,0,1,0
1,38,0,1,153,1,0,0,1,0
3,16,2,0,18,1,0,0,1,0
1,37,1,0,134,0,0,0,1,1
3,24,0,0,8,1,0,0,1,0
1,29,1,0,67,1,0,0,1,0
1,41,0,0,135,0,1,0,0,1
3,45,0,0,8,1,0,0,1,1
1,45,0,0,36,1,0,0,1,0
2,2,1,1,26,1,0,0,1,1
1,24,3,2,263,0,0,0,1,1
2,28,0,0,13,1,0,0,1,0
2,25,0,0,13,1,0,0,1,0
2,36,0,0,13,1,0,0,1,0
2,24,0,0,13,0,0,0,1,1
2,40,0,0,13,0,0,0,1,1
3,24,1,0,16,0,0,0,1,1
3,3,1,1,16,1,0,0,1,1
3,42,0,0,9,1,0,0,1,0
3,23,0,0,9,1,0,0,1,0
1,37,0,0,35,1,0,0,1,0
3,15,1,1,7,1,1,0,0,0
3,25,1,0,18,1,0,0,1,0
3,24,0,0,7,1,1,0,0,0
3,28,0,0,10,1,0,0,1,0
1,22,0,1,55,0,0,0,1,1
2,38,0,0,13,0,0,0,1,0
3,24,0,0,8,0,0,1,0,1
3,24,0,0,8,0,0,1,0,1
3,40,1,4,28,1,0,0,1,0
2,29,1,0,28,1,1,0,0,0
3,45,0,1,14,0,1,0,0,0
3,35,0,0,7,1,0,0,1,0
3,24,1,0,16,1,0,1,0,0
3,30,0,0,7,1,0,0,1,0
1,60,1,0,75,0,1,0,0,1
3,24,0,0,7,0,1,0,0,1
3,24,0,0,8,0,0,1,0,1
1,24,0,0,69,0,1,0,0,1
1,25,1,0,55,1,1,0,0,1
3,18,1,0,6,1,0,0,1,0
3,19,0,0,8,1,0,0,1,0
1,22,0,0,136,1,1,0,0,0
3,3,3,1,21,0,0,0,1,0
1,37,1,0,82,0,1,0,0,1
3,22,0,0,7,0,0,0,1,1
1,27,0,2,212,1,1,0,0,0
3,20,0,0,4,1,1,0,0,0
3,19,0,0,8,1,0,0,1,0
1,42,0,0,228,0,1,0,0,1
3,1,0,2,16,0,1,0,0,1
3,32,0,0,8,1,0,0,1,0
1,35,1,0,52,0,0,0,1,1
3,24,0,0,8,1,0,0,1,0
2,18,0,0,74,1,0,0,1,0
3,1,5,2,47,1,0,0,1,0
2,36,0,0,13,0,0,0,1,1
3,24,0,0,8,1,0,1,0,0
2,17,0,0,12,0,1,0,0,1
1,36,1,2,120,1,0,0,1,1
3,21,0,0,8,1,0,0,1,1
3,28,2,0,8,1,0,0,1,0
1,23,1,0,113,0,1,0,0,1
3,24,0,2,17,0,0,0,1,1
3,22,0,0,8,1,0,0,1,0
3,31,0,0,8,0,0,0,1,0
2,46,0,0,26,1,0,0,1,0
2,23,0,0,11,1,0,0,1,0
2,28,0,0,13,0,0,0,1,1
3,39,0,0,8,1,0,0,1,1
3,26,0,0,8,1,0,0,1,0
3,21,1,0,10,0,0,0,1,0
3,28,1,0,16,1,0,0,1,0
3,20,0,0,9,0,0,0,1,0
2,34,1,0,21,1,0,0,1,0
3,51,0,0,8,1,0,0,1,0
2,3,1,1,19,1,0,0,1,1
3,21,0,0,8,1,0,0,1,0
3,24,3,1,25,0,0,0,1,0
3,24,0,0,8,1,0,0,1,0
3,24,0,0,7,1,0,1,0,0
1,33,1,0,90,0,0,1,0,1
2,29,0,0,0,1,0,0,1,0
3,44,0,0,8,1,0,0,1,1
3,24,0,0,8,0,0,0,1,0
2,34,1,1,33,0,0,0,1,1
2,18,0,2,13,0,0,0,1,1
2,30,0,0,13,1,0,0,1,0
3,10,0,2,24,0,0,0,1,0
3,24,0,0,8,1,1,0,0,0
3,21,0,0,8,1,0,1,0,0
3,29,0,0,8,1,0,0,1,0
3,28,1,1,14,0,0,0,1,0
3,18,1,1,20,1,0,0,1,0
3,24,0,0,7,1,0,0,1,0
2,28,1,0,26,0,0,0,1,1
2,19,0,0,26,0,0,0,1,1
3,24,0,0,8,1,0,1,0,0
3,32,0,0,8,1,0,0,1,1
1,28,0,0,27,1,0,0,1,1
3,24,1,0,16,0,0,0,1,1
2,42,1,0,26,0,0,0,1,1
3,17,0,0,7,1,0,0,1,0
1,50,1,0,56,1,0,0,1,0
1,14,1,2,120,0,0,0,1,1
3,21,2,2,34,0,0,0,1,0
2,24,2,3,19,0,0,0,1,1
1,64,1,4,263,1,0,0,1,0
2,31,0,0,11,1,0,0,1,0
2,45,1,1,26,0,0,0,1,1
3,20,0,0,10,1,0,0,1,0
3,25,1,0,8,1,0,0,1,0
